"1" "counter" "POPULATION_SIZE" "NUMBER_VACCINATED" "NUMBER_INFECTIOUS" "LENGTH_OF_ACUTE" "ACUTE_TO_CHRONIC" "BETA_SUSCEPTIBLE" "power" "edge" "VACCINATION_STRATEGY" "VACCINATION_TIME" "max.infected" "time.of.max.infected" "end.susceptible" "max.change" "time.of.max.change" "frame"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "140" "-1" "691" "30" "6" "45"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "139" "-1" "665" "21" "5" "42"
"1" "14" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "1" "random" "beginning" "81" "-1" "750" "14" "4" "52"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "526" "-1" "72" "143" "5" "44"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "500" "-1" "50" "123" "5" "36"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "519" "-1" "89" "140" "4" "30"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "492" "-1" "87" "119" "5" "30"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "519" "-1" "86" "142" "5" "36"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "534" "-1" "70" "146" "5" "47"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "486" "-1" "77" "148" "6" "37"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "485" "-1" "80" "136" "6" "37"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "542" "-1" "80" "136" "6" "32"
"1" "15" "1000" "0" "10" "3" "0.12" "0.25" "0.7" "2" "random" "beginning" "506" "-1" "85" "133" "5" "45"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "177" "-1" "575" "35" "5" "57"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "127" "-1" "638" "24" "4" "44"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "56" "-1" "837" "10" "6" "36"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "159" "-1" "577" "31" "8" "38"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "112" "-1" "720" "18" "4" "38"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "110" "-1" "702" "19" "4" "42"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "131" "-1" "577" "23" "2" "44"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "97" "-1" "697" "15" "6" "50"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "127" "-1" "547" "17" "6" "48"
"1" "16" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "1" "random" "beginning" "156" "-1" "573" "36" "6" "41"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "530" "-1" "77" "139" "6" "38"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "575" "-1" "59" "177" "4" "33"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "525" "-1" "80" "149" "6" "36"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "506" "-1" "69" "142" "5" "35"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "532" "-1" "90" "163" "5" "41"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "495" "-1" "84" "127" "5" "37"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "503" "-1" "74" "133" "5" "37"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "533" "-1" "85" "151" "5" "40"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "493" "-1" "82" "159" "4" "45"
"1" "17" "1000" "0" "10" "3" "0.12" "0.25" "0.8" "2" "random" "beginning" "531" "-1" "76" "164" "5" "41"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "190" "-1" "565" "42" "5" "48"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "106" "-1" "757" "31" "6" "32"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "176" "-1" "568" "34" "7" "50"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "112" "-1" "546" "18" "16" "49"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "146" "-1" "592" "22" "8" "42"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "159" "-1" "513" "29" "4" "44"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "171" "-1" "610" "43" "13" "47"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "138" "-1" "572" "28" "15" "43"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "158" "-1" "549" "31" "11" "46"
"1" "18" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "1" "random" "beginning" "176" "-1" "545" "36" "6" "43"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "537" "-1" "75" "170" "4" "36"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "540" "-1" "102" "179" "5" "42"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "539" "-1" "86" "171" "5" "36"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "565" "-1" "57" "154" "4" "37"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "565" "-1" "72" "164" "5" "42"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "521" "-1" "83" "153" "6" "35"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "504" "-1" "74" "131" "5" "41"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "504" "-1" "94" "137" "4" "33"
"1" "19" "1000" "0" "10" "3" "0.12" "0.25" "0.9" "2" "random" "beginning" "543" "-1" "74" "161" "5" "32"
